"year","year_crop","product","subcommod","variety","items","province_code","area","attribute","values","unit","data_date"
"2562","2562/63",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เพาะปลูก,393.0,กก./ไร่,2024-05-30
"2562","2562/63",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,445.0,กก./ไร่,2024-05-30
"2563","2563/64",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เพาะปลูก,62437542,ไร่,2024-05-30
"2563","2563/64",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เก็บเกี่ยว,60093788,ไร่,2024-05-30
"2563","2563/64",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิต,26423822,ตัน,2024-05-30
"2563","2563/64",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เพาะปลูก,423.0,กก./ไร่,2024-05-30
"2563","2563/64",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,440.0,กก./ไร่,2024-05-30
"2564","2564/65",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เพาะปลูก,63012636,ไร่,2024-05-30
"2564","2564/65",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เก็บเกี่ยว,60261293,ไร่,2024-05-30
"2564","2564/65",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิต,26806578,ตัน,2024-05-30
"2564","2564/65",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เพาะปลูก,425.0,กก./ไร่,2024-05-30
"2564","2564/65",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,445.0,กก./ไร่,2024-05-30
"2565","2565/66",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เพาะปลูก,62838047,ไร่,2024-05-30
"2565","2565/66",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,เนื้อที่เก็บเกี่ยว,59491825,ไร่,2024-05-30
"2565","2565/66",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิต,26711735,ตัน,2024-05-30
"2565","2565/66",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เพาะปลูก,425.0,กก./ไร่,2024-05-30
"2565","2565/66",ข้าว,ข้าวนาปี,ข้าวรวม,ประเทศ,TH00,ประเทศไทย,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,449.0,กก./ไร่,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เพาะปลูก,13715723,ไร่,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เก็บเกี่ยว,13580730,ไร่,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิต,7816734.0,ตัน,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,570.0,กก./ไร่,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,576.0,กก./ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เพาะปลูก,12768145,ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เก็บเกี่ยว,12167504,ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิต,6801718.0,ตัน,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,533.0,กก./ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,559.0,กก./ไร่,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เพาะปลูก,13026882,ไร่,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เก็บเกี่ยว,12507802,ไร่,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิต,7137534.0,ตัน,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,548.0,กก./ไร่,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,571.0,กก./ไร่,2024-05-30
"2560","2560/61",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เพาะปลูก,13328429,ไร่,2024-05-30
"2560","2560/61",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เก็บเกี่ยว,12447110,ไร่,2024-05-30
"2560","2560/61",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิต,7209510.0,ตัน,2024-05-30
"2560","2560/61",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,541.0,กก./ไร่,2024-05-30
"2560","2560/61",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,579.0,กก./ไร่,2024-05-30
"2561","2561/62",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เพาะปลูก,13814978,ไร่,2024-05-30
"2561","2561/62",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เก็บเกี่ยว,13597349,ไร่,2024-05-30
"2561","2561/62",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิต,7847727.0,ตัน,2024-05-30
"2561","2561/62",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,568.0,กก./ไร่,2024-05-30
"2561","2561/62",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,577.0,กก./ไร่,2024-05-30
"2562","2562/63",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เพาะปลูก,14135973,ไร่,2024-05-30
"2562","2562/63",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เก็บเกี่ยว,13366164,ไร่,2024-05-30
"2562","2562/63",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิต,7519998.0,ตัน,2024-05-30
"2562","2562/63",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,532.0,กก./ไร่,2024-05-30
"2562","2562/63",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,563.0,กก./ไร่,2024-05-30
"2563","2563/64",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เพาะปลูก,14702834,ไร่,2024-05-30
"2563","2563/64",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เก็บเกี่ยว,14197950,ไร่,2024-05-30
"2563","2563/64",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิต,7965669.0,ตัน,2024-05-30
"2563","2563/64",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,542.0,กก./ไร่,2024-05-30
"2563","2563/64",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,561.0,กก./ไร่,2024-05-30
"2564","2564/65",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เพาะปลูก,15075967,ไร่,2024-05-30
"2564","2564/65",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เก็บเกี่ยว,14384537,ไร่,2024-05-30
"2564","2564/65",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิต,8123093.0,ตัน,2024-05-30
"2564","2564/65",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,539.0,กก./ไร่,2024-05-30
"2564","2564/65",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,565.0,กก./ไร่,2024-05-30
"2565","2565/66",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เพาะปลูก,15033850,ไร่,2024-05-30
"2565","2565/66",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,เนื้อที่เก็บเกี่ยว,14561717,ไร่,2024-05-30
"2565","2565/66",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิต,8334990.0,ตัน,2024-05-30
"2565","2565/66",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,554.0,กก./ไร่,2024-05-30
"2565","2565/66",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH01,ภาคเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,572.0,กก./ไร่,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เพาะปลูก,37030335,ไร่,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เก็บเกี่ยว,34793705,ไร่,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิต,12467579,ตัน,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,337.0,กก./ไร่,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,358.0,กก./ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เพาะปลูก,36193410,ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เก็บเกี่ยว,34173002,ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิต,12230973,ตัน,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,338.0,กก./ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,358.0,กก./ไร่,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เพาะปลูก,36574140,ไร่,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เก็บเกี่ยว,35286040,ไร่,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิต,12800343,ตัน,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,350.0,กก./ไร่,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,363.0,กก./ไร่,2024-05-30
"2560","2560/61",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เพาะปลูก,36636516,ไร่,2024-05-30
"2560","2560/61",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เก็บเกี่ยว,33492810,ไร่,2024-05-30
"2560","2560/61",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิต,12189325,ตัน,2024-05-30
"2560","2560/61",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,333.0,กก./ไร่,2024-05-30
"2560","2560/61",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,364.0,กก./ไร่,2024-05-30
"2561","2561/62",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เพาะปลูก,36878181,ไร่,2024-05-30
"2561","2561/62",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เก็บเกี่ยว,32869030,ไร่,2024-05-30
"2561","2561/62",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิต,11706257,ตัน,2024-05-30
"2561","2561/62",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,317.0,กก./ไร่,2024-05-30
"2561","2561/62",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,356.0,กก./ไร่,2024-05-30
"2562","2562/63",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เพาะปลูก,37799154,ไร่,2024-05-30
"2562","2562/63",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เก็บเกี่ยว,32022751,ไร่,2024-05-30
"2562","2562/63",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิต,11282079,ตัน,2024-05-30
"2562","2562/63",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,298.0,กก./ไร่,2024-05-30
"2562","2562/63",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,352.0,กก./ไร่,2024-05-30
"2563","2563/64",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เพาะปลูก,38593847,ไร่,2024-05-30
"2563","2563/64",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เก็บเกี่ยว,36908959,ไร่,2024-05-30
"2563","2563/64",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิต,13190334,ตัน,2024-05-30
"2563","2563/64",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,342.0,กก./ไร่,2024-05-30
"2563","2563/64",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,357.0,กก./ไร่,2024-05-30
"2564","2564/65",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เพาะปลูก,38684085,ไร่,2024-05-30
"2564","2564/65",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เก็บเกี่ยว,36842965,ไร่,2024-05-30
"2564","2564/65",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิต,13329299,ตัน,2024-05-30
"2564","2564/65",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,345.0,กก./ไร่,2024-05-30
"2564","2564/65",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,362.0,กก./ไร่,2024-05-30
"2565","2565/66",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เพาะปลูก,38577000,ไร่,2024-05-30
"2565","2565/66",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,เนื้อที่เก็บเกี่ยว,35840851,ไร่,2024-05-30
"2565","2565/66",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิต,12974098,ตัน,2024-05-30
"2565","2565/66",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เพาะปลูก,336.0,กก./ไร่,2024-05-30
"2565","2565/66",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH02,ภาคตะวันออกเฉียงเหนือ,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,362.0,กก./ไร่,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH03,ภาคกลาง,เนื้อที่เพาะปลูก,9156546.0,ไร่,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH03,ภาคกลาง,เนื้อที่เก็บเกี่ยว,8998902.0,ไร่,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH03,ภาคกลาง,ผลผลิต,5599613.0,ตัน,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH03,ภาคกลาง,ผลผลิตต่อเนื้อที่เพาะปลูก,612.0,กก./ไร่,2024-05-30
"2557","2557/58",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH03,ภาคกลาง,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,622.0,กก./ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH03,ภาคกลาง,เนื้อที่เพาะปลูก,8261445.0,ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH03,ภาคกลาง,เนื้อที่เก็บเกี่ยว,7922242.0,ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH03,ภาคกลาง,ผลผลิต,4904410.0,ตัน,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH03,ภาคกลาง,ผลผลิตต่อเนื้อที่เพาะปลูก,594.0,กก./ไร่,2024-05-30
"2558","2558/59",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH03,ภาคกลาง,ผลผลิตต่อเนื้อที่เก็บเกี่ยว,619.0,กก./ไร่,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH03,ภาคกลาง,เนื้อที่เพาะปลูก,8286984.0,ไร่,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH03,ภาคกลาง,เนื้อที่เก็บเกี่ยว,8079345.0,ไร่,2024-05-30
"2559","2559/60",ข้าว,ข้าวนาปี,ข้าวรวม,ภาค,TH03,ภาคกลาง,ผลผลิต,4994559.0,ตัน,2024-05-30
